JV1,JV2,JV3,JV4,JV5,JV6
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,0.00021529551208553216,0.001574929682882627,-0.0,-0.0006768890635993746,-0.0
-0.0,-0.0,5.5804595542730144e-05,-9.04241098744381e-05,-1.8084823193985764e-05,-0.0
-0.0,-0.0,0.00012401020689896413,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-1.8084823193985764e-05,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,5.7871430157093954e-05,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,4.133673800345665e-06,-0.0,0.0,-7.750637931185258e-06
-0.0,1.7223640834773607e-06,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,1.2401020893079437e-05,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,6.2005104465397186e-06,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,6.2005104465397186e-06,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,2.0668369001728327e-06,2.583546061721346e-06,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,1.8084823193985764e-05,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,5.167092123442692e-06,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,5.167092123442692e-06,0.0,-0.0
-0.0,-0.0,0.0,3.358609905635628e-05,0.0,-0.0
-0.0,-0.0,0.0,2.583546061721346e-06,0.0,-0.0
-0.0,-0.0,0.0,7.750637931185258e-06,0.0,-0.0
-0.0,-0.0,0.0,0.00018343176504866118,0.0,-0.0
-0.0,-0.0,0.0,0.0003461951676990423,0.0,-0.0
-0.0,-0.0,0.0,0.0005632130704088344,0.0,-0.0
-0.0,-0.0,0.0,0.0005502953114006255,0.0,-0.0
-0.0,-0.0,0.0,0.0008034828157981237,0.0,-0.0
-0.0,-0.0,0.0,0.0010928400194111798,0.0,-0.0
-0.0,-0.0,0.0,0.0014364515767918693,0.0,-0.0
-0.0,-0.0,0.0,0.00226835348841548,0.0,-0.0
-0.0,-0.0,0.0,0.002526708148431116,0.0,-0.0
-0.0,-0.0,0.0,0.0055184545808606685,0.0,-0.0
-0.0,-0.0,0.0,0.006944571846416262,0.0,-0.0
-0.0,-0.0,0.0,0.008412025836768417,0.0,-0.0
-0.0,-0.0,0.0,0.009659878314092424,0.0,-0.0
-0.0,-0.0,0.0,0.011042076317339474,0.0,-0.0
-0.0,-0.0,0.0,0.012568951557003128,0.0,-0.0
-0.0,-0.0,0.0,0.014635788837128216,0.0,-0.0
-0.0,-0.0,0.0,0.017464771688106326,0.0,-0.0
-0.0,-0.0,0.0,0.020379012086635166,0.0,-0.0
-0.0,-0.0,0.0,0.02285663147647116,0.0,-0.0
-0.0,-0.0,0.0,0.026708699696572625,0.0,-0.0
-0.0,-0.0,0.0,0.030770034078168872,0.0,-0.0
-0.0,-0.0,0.0,0.03733999078330994,0.0,-0.0
-0.0,-0.0,0.0,0.046602005396885346,0.0,-0.0
-0.0,-0.0,0.0,0.05482801311125226,0.0,-0.0
-0.0,-0.0,0.0,0.06130496517645519,0.0,-0.0
-0.0,-0.0,0.0,0.06307469360928006,0.0,-0.0
-0.0,-0.0,0.0,0.0630023555112203,0.0,-0.0
-0.0,-0.0,0.0,0.06437421608233983,0.0,-0.0
-0.0,-0.0,0.0,0.06444913827835719,0.0,-0.0
-0.0,-0.0,0.0,0.06826761946679222,0.0,-0.0
-0.0,-0.0,0.0,0.07357164073053997,0.0,-0.0
-0.0,-0.0,0.0,0.07628952921557956,0.0,-0.0
-0.0,-0.0,0.0,0.07494092136489021,0.0,-0.0
-0.0,-0.0,0.0,0.07406509941073525,0.0,-0.0
-0.0,-0.0,0.0,0.07717826749833426,0.0,-0.0
-0.0,-0.0,0.0,0.08423393683158027,0.0,-0.0
-0.0,-0.0,0.0,0.0882668523774253,0.0,-0.0
-0.0,-0.0,0.0,0.08847353860215082,0.0,-0.0
-0.0,-0.0,0.0,0.0877888982849757,0.0,-0.0
-0.0,-0.0,0.0,0.08859237381869423,0.0,-0.0
-0.0,-0.0,0.0,0.09229976792327034,0.0,-0.0
-0.0,-0.0,0.0,0.09339260417160458,0.0,-0.0
-0.0,-0.0,0.0,0.09403849550298056,0.0,-0.0
-0.0,-0.0,0.0,0.09248836130110423,0.0,-0.0
-0.0,-0.0,0.0,0.09390673563546076,0.0,-0.0
-0.0,-0.0,0.0,0.09964995784467062,0.0,-0.0
-0.0,-0.0,0.0,0.10604939945471023,0.0,-0.0
-0.0,-0.0,0.0,0.10494622681454553,0.0,-0.0
-0.0,-0.0,0.0,0.10658936357576583,0.0,-0.0
-0.0,-0.0,0.0,0.1091858202627394,0.0,-0.0
-0.0,-0.0,0.0,0.10846759915568034,0.0,-0.0
-0.0,-0.0,0.0,0.1018356386637158,0.0,-0.0
-0.0,-0.0,0.0,0.09549561050075955,0.0,-0.0
-0.0,-0.0,0.0,0.09533542971689438,0.0,-0.0
-0.0,-0.0,0.0,0.09658328687555526,0.0,-0.0
-0.0,-0.0,0.0,0.09303607355484433,0.0,-0.0
-0.0,-0.0,0.0,0.08872155374944475,0.0,-0.0
-0.0,-0.0,0.0,0.08970330291392009,0.0,-0.0
-0.0,-0.0,0.0,0.09583405659300487,0.0,-0.0
-0.0,-0.0,0.0,0.0971490836538103,0.0,-0.0
-0.0,-0.0,0.0,0.0930024927649604,0.0,-0.0
-0.0,-0.0,0.0,0.09218092438435026,0.0,-0.0
-0.0,-0.0,0.0,0.0964773596652349,0.0,-0.0
-0.0,-0.0,0.0,0.10199323118843504,0.0,-0.0
-0.0,-0.0,0.0,0.09855194507804448,0.0,-0.0
-0.0,-0.0,0.0,0.09389639924363032,0.0,-0.0
-0.0,-0.0,0.0,0.0880033326423857,0.0,-0.0
-0.0,-0.0,0.0,0.08464730095865462,0.0,-0.0
-0.0,-0.0,0.0,0.08469897459543017,0.0,-0.0
-0.0,-0.0,0.0,0.08167622080802918,0.0,-0.0
-0.0,-0.0,0.0,0.07704133943489923,0.0,-0.0
-0.0,-0.0,0.0,0.07528711558982001,0.0,-0.0
-0.0,-0.0,0.0,0.07624561203386519,0.0,-0.0
-0.0,-0.0,0.0,0.08204050787985061,0.0,-0.0
-0.0,-0.0,0.0,0.0878870690402349,0.0,-0.0
-0.0,-0.0,0.0,0.09024842690851424,0.0,-0.0
-0.0,-0.0,0.0,0.09231010431510078,0.0,-0.0
-0.0,-0.0,0.0,0.09417283530726964,0.0,-0.0
-0.0,-0.0,0.0,0.10091847946461573,0.0,-0.0
-0.0,-0.0,0.0,0.10025967180464004,0.0,-0.0
-0.0,-0.0,0.0,0.09490914926122031,0.0,-0.0
-0.0,-0.0,0.0,0.09264854208496942,0.0,-0.0
-0.0,-0.0,0.0,0.0976967959075504,0.0,-0.0
-0.0,-0.0,0.0,0.10014082826571995,0.0,-0.0
-0.0,-0.0,0.0,0.09820833911226061,0.0,-0.0
-0.0,-0.0,0.0,0.09736868620713553,0.0,-0.0
-0.0,-0.0,0.0,0.10035784255989923,0.0,-0.0
-0.0,-0.0,0.0,0.10098048117084504,0.0,-0.0
-0.0,-0.0,0.0,0.1023962672460556,0.0,-0.0
-0.0,-0.0,0.0,0.10149719257147048,0.0,-0.0
-0.0,-0.0,0.0,0.10438817816897498,0.0,-0.0
-0.0,-0.0,0.0,0.10925816668317584,0.0,-0.0
-0.0,-0.0,0.0,0.10994538693712023,0.0,-0.0
-0.0,-0.0,0.0,0.10297239209376442,0.0,-0.0
-0.0,-0.0,0.0,0.09677963670845033,0.0,-0.0
-0.0,-0.0,0.0,0.09944843981586034,0.0,-0.0
-0.0,-0.0,0.0,0.10449927357521058,0.0,-0.0
-0.0,-0.0,0.0,0.10010723915345934,0.0,-0.0
-0.0,-0.0,0.0,0.10735667006045449,0.0,-0.0
-0.0,-0.0,0.0,0.10997121959431967,0.0,-0.0
-0.0,-0.0,0.0,0.11384654261544547,0.0,-0.0
-0.0,-0.0,0.0,0.11284154073053997,0.0,-0.0
